Trap,AmpCt,Size14,Fragmentation,Blocks,Size,Edge,Topo
1,33,2,1,1,2,2,2
2,44,2,1,1,2,2,2
3,16,2,1,1,2,1,2
4,15,2,1,1,2,1,2
5,4,2,1,1,2,1,1
6,5,2,1,1,2,1,1
7,6,2,1,1,2,2,1
8,3,2,1,1,2,2,1
9,22,3,1,1,3,2,1
10,29,3,1,1,3,2,1
11,90,3,1,1,3,1,1
12,75,3,1,1,3,1,1
13,377,3,1,1,3,2,2
14,381,3,1,1,3,2,2
15,269,3,1,1,3,1,2
16,193,3,1,1,3,1,2
17,7,1,1,1,1,2,1
18,17,1,1,1,1,2,1
19,10,1,1,1,1,1,1
20,13,1,1,1,1,1,1
21,110,1,1,1,1,2,2
22,71,1,1,1,1,2,2
23,93,1,1,1,1,1,2
24,157,1,1,1,1,1,2
25,4,1,1,2,1,2,1
26,2,1,1,2,1,2,1
27,2,1,1,2,1,1,1
28,5,1,1,2,1,1,1
29,19,1,1,2,1,2,2
30,14,1,1,2,1,2,2
31,9,1,1,2,1,1,2
32,12,1,1,2,1,1,2
33,18,2,1,2,2,2,2
34,38,2,1,2,2,2,2
35,3,2,1,2,2,1,2
36,1,2,1,2,2,1,2
37,4,2,1,2,2,1,1
38,9,2,1,2,2,1,1
39,0,2,1,2,2,2,1
40,1,2,1,2,2,2,1
41,61,3,1,2,3,2,1
42,175,3,1,2,3,2,1
43,392,3,1,2,3,2,2
44,482,3,1,2,3,2,2
45,214,3,1,2,3,1,1
46,261,3,1,2,3,1,1
47,573,3,1,2,3,1,2
48,743,3,1,2,3,1,2
49,57,3,1,3,3,2,2
50,339,3,1,3,3,2,2
51,101,3,1,3,3,2,1
52,21,3,1,3,3,2,1
53,586,3,1,3,3,1,2
54,476,3,1,3,3,1,2
55,248,3,1,3,3,1,1
56,110,3,1,3,3,1,1
57,9,2,1,3,2,2,1
58,25,2,1,3,2,1,1
59,9,2,1,3,2,1,1
60,28,2,1,3,2,1,2
61,162,2,1,3,2,1,2
62,93,2,1,3,2,2,2
63,64,2,1,3,2,2,2
64,14,2,1,3,2,2,1
65,89,1,1,3,1,2,1
66,55,1,1,3,1,1,1
67,14,1,1,3,1,1,1
68,13,1,1,3,1,2,1
69,76,1,1,3,1,1,2
70,163,1,1,3,1,1,2
71,318,1,1,3,1,2,2
72,257,1,1,3,1,2,2
73,454,4,2,6,1,2,1
74,212,4,2,6,1,1,1
75,498,4,2,6,1,1,1
76,354,4,2,6,1,1,2
77,207,4,2,6,1,1,2
78,134,4,2,6,1,2,2
79,376,4,2,6,1,2,2
80,336,4,2,6,1,2,1
81,98,4,2,6,3,2,1
82,258,4,2,6,3,1,2
83,226,4,2,6,3,1,2
84,210,4,2,6,3,1,1
85,157,4,2,6,3,1,1
86,646,4,2,6,3,2,2
87,613,4,2,6,3,2,2
88,244,4,2,6,3,2,1
89,258,4,2,6,2,2,1
90,261,4,2,6,2,2,2
91,214,4,2,6,2,2,2
92,420,4,2,6,2,1,2
93,666,4,2,6,2,1,2
94,403,4,2,6,2,2,1
95,372,4,2,6,2,1,1
96,309,4,2,6,2,1,1
97,518,4,2,5,2,2,2
98,238,4,2,5,2,2,2
99,496,4,2,5,2,1,2
100,621,4,2,5,2,1,2
101,473,4,2,5,2,1,1
102,286,4,2,5,2,2,1
103,263,4,2,5,2,1,1
104,399,4,2,5,2,2,1
105,1125,4,2,5,1,2,2
106,333,4,2,5,1,1,2
107,615,4,2,5,1,1,2
108,578,4,2,5,1,2,2
109,500,4,2,5,1,1,1
110,362,4,2,5,1,2,1
111,403,4,2,5,1,1,1
112,579,4,2,5,1,2,1
113,444,4,2,5,3,2,1
114,508,4,2,5,3,1,1
115,364,4,2,5,3,1,1
116,423,4,2,5,3,2,1
117,259,4,2,5,3,1,2
118,663,4,2,5,3,1,2
119,303,4,2,5,3,2,2
120,317,4,2,5,3,2,2
121,30,3,1,4,3,2,1
122,275,3,1,4,3,2,2
123,37,3,1,4,3,2,1
124,100,3,1,4,3,1,1
125,416,3,1,4,3,1,1
126,444,3,1,4,3,1,2
127,672,3,1,4,3,1,2
128,230,3,1,4,3,2,2
129,108,2,1,4,2,2,2
130,223,2,1,4,2,2,2
131,40,2,1,4,2,2,1
132,196,2,1,4,2,1,1
133,224,2,1,4,2,1,2
134,130,2,1,4,2,1,2
135,70,2,1,4,2,1,1
136,33,2,1,4,2,2,1
137,47,1,1,4,1,2,1
138,69,1,1,4,1,1,1
139,113,1,1,4,1,2,2
140,97,1,1,4,1,2,1
141,70,1,1,4,1,1,1
142,82,1,1,4,1,1,2
143,172,1,1,4,1,1,2
144,122,1,1,4,1,2,2
145,15,7,3,7,NA,NA,1
146,14,7,3,7,NA,NA,2
147,72,7,3,7,NA,NA,1
148,236,7,3,7,NA,NA,2
149,28,7,3,7,NA,NA,1
150,73,7,3,7,NA,NA,2
151,15,7,3,7,NA,NA,1
152,44,7,3,7,NA,NA,2
153,21,7,3,7,NA,NA,1
154,123,7,3,7,NA,NA,2
155,5,7,3,7,NA,NA,1
156,6,7,3,7,NA,NA,2
157,2,7,3,7,NA,NA,1
158,42,7,3,7,NA,NA,2
159,24,7,3,7,NA,NA,1
160,9,7,3,7,NA,NA,2
161,23,7,3,7,NA,NA,1
162,115,7,3,7,NA,NA,2
163,86,7,3,7,NA,NA,1
164,77,7,3,7,NA,NA,2
165,34,7,3,7,NA,NA,1
166,76,7,3,7,NA,NA,2
167,12,7,3,7,NA,NA,1
168,38,7,3,7,NA,NA,2
169,37,7,3,7,NA,NA,1
170,53,7,3,7,NA,NA,2
171,26,7,3,7,NA,NA,1
172,70,7,3,7,NA,NA,2
173,26,7,3,7,NA,NA,1
174,176,7,3,7,NA,NA,2
175,4,7,3,7,NA,NA,1
176,9,7,3,7,NA,NA,2
177,15,7,3,7,NA,NA,1
178,98,7,3,7,NA,NA,2
179,25,7,3,7,NA,NA,1
180,38,7,3,7,NA,NA,2
181,81,7,3,7,NA,NA,1
182,55,7,3,7,NA,NA,2
183,71,7,3,7,NA,NA,1
184,248,7,3,7,NA,NA,2
185,54,7,3,7,NA,NA,1
186,162,7,3,7,NA,NA,2
187,7,7,3,7,NA,NA,1
188,26,7,3,7,NA,NA,2
