ID,Year,Trap,Rep,TreatNum,SizeNum,TopoNum,HWPres,HWCount,ProxNum,BioYear
R07066,1988,24,1,1,1,2,0,0,1,4
R07067,1988,22,1,1,1,2,0,0,2,4
R07070,1988,30,2,1,1,2,0,0,2,4
R07072,1988,129,4,1,2,2,1,3,2,4
R07111,1990,43,2,1,3,2,0,0,2,6
R07112,1990,165,2,3,,1,0,0,,6
R07114,1990,42,2,1,3,1,0,0,2,6
R07115,1990,135,4,1,2,1,0,0,1,6
R07121,1990,94,6,2,4,1,1,11,0,6
R07122,1990,87,6,2,4,2,0,0,0,6
R07126,1990,122,4,1,3,2,0,0,2,6
R07159,1989,115,5,2,4,1,0,0,0,5
R07168,1989,113,5,2,4,1,1,1,0,5
R07184,1989,79,6,2,4,2,0,0,0,5
R07228,1991,146,1,3,,2,0,0,,7
R07229,1991,164,2,3,,2,0,0,,7
R07236,1991,126,4,1,3,2,0,0,1,7
R07242,1991,155,1,3,,1,0,0,,7
R07253,1991,150,1,3,,2,0,0,,7
R07263,1991,15,1,1,3,2,0,0,1,7
R07266,1991,47,2,1,3,2,0,0,1,7
R07308,1991,167,3,3,,1,0,0,,7
R07309,1991,171,3,3,,1,0,0,,7
R07351,1991,158,2,3,,2,0,0,,7
R07352,1991,162,2,3,,2,0,0,,7
R07353,1991,68,3,1,1,1,0,0,2,7
R07358,1991,76,6,2,4,2,0,0,0,7
R07360,1991,160,2,3,,2,0,0,,7
R07367,1991,178,3,3,,2,0,0,,7
R07369,1991,33,2,1,2,2,0,0,2,7
R07370,1991,70,3,1,1,2,0,0,1,7
R07373,1991,83,6,2,4,2,0,0,0,7
R07378,1991,170,3,3,,2,0,0,,7
R07382,1991,141,4,1,1,1,0,0,1,7
R07385,1991,142,4,1,1,2,0,0,1,7
R07424,1991,179,4,3,,1,0,0,,7
R07428,1991,180,4,3,,2,0,0,,7
R07435,1991,100,5,2,4,2,0,0,0,7
R07439,1991,171,3,3,,1,0,0,,7
R07455,1991,63,3,1,2,2,0,0,2,7
R07459,1991,20,1,1,1,1,1,1,1,7
R07460,1991,45,2,1,3,1,0,0,1,7
R07463,1991,40,2,1,2,1,0,0,2,7
R07464,1991,60,3,1,2,2,0,0,1,7
R07466,1991,183,4,3,,1,0,0,,7
R07468,1991,140,4,1,1,1,0,0,2,7
R07469,1991,6,1,1,2,1,0,0,1,7
R07479,1990,172,3,3,,2,0,0,,6
R07480,1990,69,3,1,1,2,0,0,1,6
R07481,1990,99,5,2,4,2,0,0,0,6
R07487,1990,185,4,3,,2,0,0,,6
R07488,1990,136,4,1,2,1,0,0,2,6
R07491,1990,132,4,1,2,1,0,0,1,6
R07496,1990,182,4,3,,2,0,0,,6
R07497,1990,14,1,1,3,2,0,0,2,6
R07536,1992,102,5,2,4,1,1,4,0,8
R07578,1992,97,5,2,4,2,0,0,0,8
R07621,1991,78,6,2,4,2,1,4,0,8
R07736,1992,96,6,2,4,1,1,3,0,8
R07757,1992,108,5,2,4,2,1,3,0,8
R07777,1992,110,5,2,4,1,1,6,0,8
R07790,1992,161,2,3,,1,0,0,,8
R07799,1992,188,4,3,,2,0,0,,8
R07818,1992,55,3,1,3,1,0,0,1,8
R07895,1992,116,5,2,4,1,0,0,0,9
R07982,1993,184,4,3,,2,0,0,,9
R08009,1993,163,2,3,,1,0,0,,9
R08035,1993,49,3,1,3,2,0,0,2,9
R08037,1993,86,6,2,4,2,1,7,0,9
R08040,1993,149,1,3,,1,0,0,,9
R08041,1993,2,1,1,2,2,0,0,2,9
R08070,1993,73,6,2,4,1,1,4,0,9
R08078,1993,39,2,1,2,1,0,0,2,9
R08079,1993,114,5,2,4,1,1,1,0,9
R08081,1993,138,4,1,1,1,1,1,1,9
R08090,1993,125,4,1,3,1,0,0,1,9
R08091,1993,169,3,3,,1,0,0,,9
R08098,1993,41,2,1,3,1,0,0,2,9
R08099,1993,59,3,1,2,1,0,0,1,9
R08160,1993,92,6,2,4,2,1,1,0,10
R08422,1994,44,2,1,3,2,0,0,2,10
R08424,1994,58,3,1,2,1,0,0,1,10
R08437,1994,112,5,2,4,1,1,9,0,10
R08495,1994,50,3,1,3,2,0,0,2,10
R08496,1994,53,3,1,3,2,0,0,1,10
R08497,1994,51,3,1,3,1,0,0,2,10
R08499,1994,13,1,1,3,2,0,0,2,10
R08505,1994,9,1,1,3,1,0,0,2,10
R08511,1994,25,2,1,1,1,0,0,2,10
R08512,1994,23,1,1,1,2,0,0,1,10
R08519,1994,128,4,1,3,2,1,4,2,10
R08522,1994,72,3,1,1,2,0,0,2,10
R08527,1994,152,1,3,,2,0,0,,10
R08530,1994,136,4,1,2,1,1,3,2,10
R08534,1994,151,1,3,,1,0,0,,10
R08535,1994,127,4,1,3,2,0,0,1,10
R08538,1994,36,2,1,2,2,0,0,1,10
R08539,1994,135,4,1,2,1,1,1,1,10
R08607,1994,32,2,1,1,2,0,0,1,10
R08608,1994,17,1,1,1,1,0,0,2,10
R08614,1994,85,6,2,4,1,1,1,0,10
R08628,1994,35,2,1,2,2,0,0,1,10
R08629,1994,4,1,1,2,2,0,0,1,10
R08639,1994,65,3,1,1,1,0,0,2,10
R08823,1995,48,2,1,3,2,0,0,1,11
R08842,1995,46,2,1,3,1,0,0,1,11
R08916,1995,105,5,2,4,2,1,1,0,11
R08921,1995,1,1,1,2,2,0,0,2,11
R08978,1995,18,1,1,1,1,0,0,2,11
R08988,1995,90,6,2,4,2,1,4,0,11
R08995,1995,134,4,1,2,2,1,3,1,11
R08997,1995,88,6,2,4,1,0,0,0,11
R08998,1995,111,5,2,4,1,1,3,0,11
R09018,1995,37,2,1,2,1,0,0,1,11
R09075,1995,119,5,2,4,2,0,0,0,12
R09079,1995,8,1,1,2,1,0,0,2,12
R09109,1995,91,6,2,4,2,1,11,0,12
R09126,1995,75,6,2,4,1,0,0,0,12
R09174,1996,107,5,2,4,2,1,2,0,12
R09223,1996,7,1,1,2,1,0,0,2,12
R09268,1996,117,5,2,4,2,1,1,0,12
R09270,1996,157,2,3,,1,0,0,,12
R09384,1996,130,4,1,2,2,1,13,2,12
R09448,1996,81,6,2,4,1,0,0,0,12
R09453,1996,159,2,3,,1,0,0,,12
R09463,1996,64,3,1,2,1,0,0,2,12
R09476,1996,12,1,1,3,1,0,0,1,12
R09485,1996,143,4,1,1,2,1,14,1,12
R09486,1996,181,4,3,,1,0,0,,12
R09495,1996,66,3,1,1,1,0,0,1,12
R09497,1996,3,1,1,2,2,0,0,1,12
R09499,1996,120,5,2,4,2,1,5,0,12
R09524,1996,144,4,1,1,2,0,0,2,12
R09634,1997,11,1,1,3,1,0,0,1,13
R09639,1997,177,3,3,,1,0,0,,13
R09651,1997,82,6,2,4,2,0,0,0,13
R09659,1997,156,2,3,,2,0,0,,13
R09660,1997,133,4,1,2,2,1,1,1,13
R09662,1997,77,6,2,4,2,1,13,0,13
R09668,1997,10,1,1,3,1,0,0,2,13
R09670,1997,118,5,2,4,2,1,4,0,13
R09671,1997,98,5,2,4,2,1,2,0,13
R09672,1997,16,1,1,3,2,0,0,1,13
R09683,1997,139,4,1,1,2,1,14,2,13
R09687,1997,8,1,1,2,1,0,0,2,13
R09692,1997,54,3,1,3,2,0,0,1,13
R09701,1997,71,3,1,1,2,0,0,2,13
R09702,1997,29,2,1,1,2,0,0,2,13
