BioYear,Trap,ID,Year,Rep,TreatNum,SizeNum,TopoNum,HWPres,HWCount,ProxNum,AmpYr,AmpAllYr,SameYr,OneYrlag,TwoYrlag,ThrYrlag,Last2yrs,Last3yrs,Last4yrs
11,1,R08921,1995,1,1,2,2,0,0,2,0,33,0,27,1,0,27,28,28
9,2,R08041,1993,1,1,2,2,0,0,2,1,44,1,0,0,2,1,1,3
12,3,R09497,1996,1,1,2,2,0,0,1,0,16,0,0,14,1,0,14,15
10,4,R08629,1994,1,1,2,2,0,0,1,8,15,8,0,2,1,8,10,11
7,6,R07469,1991,1,1,2,1,0,0,1,0,5,0,0,0,1,0,0,1
12,7,R09223,1996,1,1,2,1,0,0,2,0,6,0,0,5,0,0,5,5
12,8,R09079,1995,1,1,2,1,0,0,2,0,3,0,0,0,2,0,0,2
13,8,R09687,1997,1,1,2,1,0,0,2,0,3,0,0,0,0,0,0,0
10,9,R08505,1994,1,1,3,1,0,0,2,22,22,22,0,0,0,22,22,22
13,10,R09668,1997,1,1,3,1,0,0,2,19,29,19,0,0,8,19,19,27
13,11,R09634,1997,1,1,3,1,0,0,1,0,90,0,0,0,74,0,0,74
12,12,R09476,1996,1,1,3,1,0,0,1,0,75,0,0,71,3,0,71,74
10,13,R08499,1994,1,1,3,2,0,0,2,286,377,286,5,2,29,291,293,322
6,14,R07497,1990,1,1,3,2,0,0,2,4,381,4,0,4,9,4,8,17
7,15,R07263,1991,1,1,3,2,0,0,1,36,269,36,0,0,0,36,36,36
13,16,R09672,1997,1,1,3,2,0,0,1,47,193,47,3,24,78,50,74,152
10,17,R08608,1994,1,1,1,1,0,0,2,2,7,2,0,0,1,2,2,3
11,18,R08978,1995,1,1,1,1,0,0,2,0,17,0,2,1,0,2,3,3
7,20,R07459,1991,1,1,1,1,1,1,1,1,13,1,3,1,0,4,5,5
4,22,R07067,1988,1,1,1,2,0,0,2,13,71,13,8,1,0,21,22,22
10,23,R08512,1994,1,1,1,2,0,0,1,32,93,32,2,3,25,34,37,62
4,24,R07066,1988,1,1,1,2,0,0,1,10,157,10,9,1,0,19,20,20
10,25,R08511,1994,2,1,1,1,0,0,2,0,4,0,0,0,1,0,0,1
13,29,R09702,1997,2,1,1,2,0,0,2,3,19,3,1,0,10,4,4,14
4,30,R07070,1988,2,1,1,2,0,0,2,0,14,0,4,0,0,4,4,4
10,32,R08607,1994,2,1,1,2,0,0,1,5,12,5,0,0,1,5,5,6
7,33,R07369,1991,2,1,2,2,0,0,2,1,18,1,0,0,0,1,1,1
10,35,R08628,1994,2,1,2,2,0,0,1,0,3,0,0,0,1,0,0,1
10,36,R08538,1994,2,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0
11,37,R09018,1995,2,1,2,1,0,0,1,0,4,0,1,1,0,1,2,2
9,39,R08078,1993,2,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0
7,40,R07463,1991,2,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0
9,41,R08098,1993,2,1,3,1,0,0,2,1,61,1,1,1,1,2,3,4
6,42,R07114,1990,2,1,3,1,0,0,2,1,175,1,1,1,0,2,3,3
6,43,R07111,1990,2,1,3,2,0,0,2,2,392,2,0,4,7,2,6,13
10,44,R08422,1994,2,1,3,2,0,0,2,207,482,207,24,3,24,231,234,258
7,45,R07460,1991,2,1,3,1,0,0,1,16,214,16,8,0,0,24,24,24
11,46,R08842,1995,2,1,3,1,0,0,1,4,261,4,203,18,5,207,225,230
7,47,R07266,1991,2,1,3,2,0,0,1,130,573,130,19,3,1,149,152,153
11,48,R08823,1995,2,1,3,2,0,0,1,23,743,23,244,106,54,267,373,427
9,49,R08035,1993,3,1,3,2,0,0,2,4,57,4,0,22,4,4,26,30
